model_family,model_name,target_column,target_variable,horizon_hours,extreme_threshold,threshold_strategy,test_extreme_support,test_predicted_extreme_support,extreme_prevalence,precision,recall,f1,true_positive,false_positive,false_negative,true_negative
baseline,random_forest,precipitation_target_t_plus_24h,precipitation,24,3.4,95th percentile of positive training precipitation to avoid zero-inflation bias.,161,0,0.008669897684437265,0.0,0.0,0.0,0,0,161,18409
deep_learning,gru,precipitation_target_t_plus_24h,precipitation,24,3.4,95th percentile of positive training precipitation to avoid zero-inflation bias.,161,0,0.008669897684437265,0.0,0.0,0.0,0,0,161,18409
baseline,random_forest,precipitation_target_t_plus_48h,precipitation,48,3.4,95th percentile of positive training precipitation to avoid zero-inflation bias.,161,0,0.008669897684437265,0.0,0.0,0.0,0,0,161,18409
deep_learning,gru,precipitation_target_t_plus_48h,precipitation,48,3.4,95th percentile of positive training precipitation to avoid zero-inflation bias.,161,0,0.008669897684437265,0.0,0.0,0.0,0,0,161,18409
baseline,random_forest,precipitation_target_t_plus_72h,precipitation,72,3.4,95th percentile of positive training precipitation to avoid zero-inflation bias.,160,0,0.008616047388260635,0.0,0.0,0.0,0,0,160,18410
deep_learning,gru,precipitation_target_t_plus_72h,precipitation,72,3.4,95th percentile of positive training precipitation to avoid zero-inflation bias.,160,0,0.008616047388260635,0.0,0.0,0.0,0,0,160,18410
baseline,random_forest,temperature_2m_target_t_plus_24h,temperature_2m,24,39.226,95th percentile of the full training temperature distribution.,649,605,0.0349488422186322,0.8793388429752066,0.8197226502311248,0.8484848484848485,532,73,117,17848
deep_learning,gru,temperature_2m_target_t_plus_24h,temperature_2m,24,39.226,95th percentile of the full training temperature distribution.,649,609,0.0349488422186322,0.8702791461412152,0.8166409861325116,0.8426073131955485,530,79,119,17842
baseline,random_forest,temperature_2m_target_t_plus_48h,temperature_2m,48,39.226,95th percentile of the full training temperature distribution.,649,582,0.0349488422186322,0.8298969072164949,0.7442218798151001,0.784727863525589,483,99,166,17822
deep_learning,gru,temperature_2m_target_t_plus_48h,temperature_2m,48,39.226,95th percentile of the full training temperature distribution.,649,584,0.0349488422186322,0.827054794520548,0.7442218798151001,0.7834549878345499,483,101,166,17820
deep_learning,gru,temperature_2m_target_t_plus_72h,temperature_2m,72,39.226,95th percentile of the full training temperature distribution.,649,591,0.0349488422186322,0.7884940778341794,0.7180277349768875,0.7516129032258064,466,125,183,17796
baseline,random_forest,temperature_2m_target_t_plus_72h,temperature_2m,72,39.226,95th percentile of the full training temperature distribution.,649,571,0.0349488422186322,0.7968476357267951,0.7010785824345146,0.7459016393442623,455,116,194,17805
