model_family,model_name,target_column,target_variable,horizon_hours,sample_count,rmse,mae,r2
deep_learning,gru,precipitation_target_t_plus_24h,precipitation,24,18570,0.6242134591352,0.15793972964660213,0.07066397514570588
baseline,random_forest,precipitation_target_t_plus_24h,precipitation,24,18570,0.6304603728481017,0.12856603951674223,0.05196995141707261
deep_learning,gru,precipitation_target_t_plus_48h,precipitation,48,18570,0.6332792894598812,0.17661074780158045,0.04339335232931296
baseline,random_forest,precipitation_target_t_plus_48h,precipitation,48,18570,0.6348307303947132,0.13123604285900237,0.03870052355780529
baseline,random_forest,precipitation_target_t_plus_72h,precipitation,72,18570,0.6352172903550602,0.13046111376554384,0.0339459679872004
deep_learning,gru,precipitation_target_t_plus_72h,precipitation,72,18570,0.6359242567474058,0.17656779253731383,0.031794424367199925
deep_learning,gru,temperature_2m_target_t_plus_24h,temperature_2m,24,18570,1.5431391368470015,1.1578156171720646,0.9609144359237102
baseline,random_forest,temperature_2m_target_t_plus_24h,temperature_2m,24,18570,1.5490229594474383,1.1350411240576017,0.9606158088941091
deep_learning,gru,temperature_2m_target_t_plus_48h,temperature_2m,48,18570,1.8100207116222622,1.3658408846852597,0.946160060182339
baseline,random_forest,temperature_2m_target_t_plus_48h,temperature_2m,48,18570,1.9020527302313859,1.4305721213239466,0.9405457930704466
deep_learning,gru,temperature_2m_target_t_plus_72h,temperature_2m,72,18570,2.034145125148785,1.5405797482949146,0.9319485534241005
baseline,random_forest,temperature_2m_target_t_plus_72h,temperature_2m,72,18570,2.114817468074552,1.6048314571433746,0.9264438009976154
